Distance,Theater,Movie Name,Duration,User Rating,Metascore,Rank,Showtime
Within 5 miles ,AMC Eastridge 15,A Journal for Jordan (2021),131 min,-/10,None,<500,12:30pm 3:30 6:30 9:30 
Within 5 miles ,AMC Eastridge 15,American Underdog (2021),112 min,-/10,None,90,11:15am 2:00pm 4:45 7:30 10:15 
Within 5 miles ,AMC Eastridge 15,Encanto (2021),102 min,7.6/10,75,21,11:15am 2:30pm 5:15 8:00 
Within 5 miles ,AMC Eastridge 15,Ghostbusters: Afterlife (2021),124 min,7.6/10,None,28,3:45pm 10:15 
Within 5 miles ,AMC Eastridge 15,House of Gucci (2021),158 min,6.9/10,None,10,10:45pm 
Within 5 miles ,AMC Eastridge 15,Licorice Pizza (2021),133 min,8.4/10,91,14,1:00pm 4:00 7:00 10:00 
Within 5 miles ,AMC Eastridge 15,Nightmare Alley (2021),150 min,7.5/10,68,11,11:30am 4:00pm 7:00 10:30 
Within 5 miles ,AMC Eastridge 15,Sing 2 (2021),112 min,7.4/10,None,40,11:30am 12:15pm 1:00 2:45 3:30 5:45 6:30 7:30 8:45 9:30 
Within 5 miles ,AMC Eastridge 15,Spider-Man: No Way Home (2021),148 min,9/10,71,1,11:00am 11:00 12:00pm 2:45 3:30 3:45 6:30 7:30 10:00 10:30 10:45 2:00pm 5:30 9:00 
Within 5 miles ,AMC Eastridge 15,The King's Man (2021),131 min,6.9/10,None,26,12:00pm 3:15 6:30 9:45 
Within 5 miles ,AMC Eastridge 15,The Matrix Resurrections (2021),148 min,6.1/10,65,4,11:15am 12:00pm 2:45 6:15 7:15 9:45 
Within 5 miles ,AMC Eastridge 15,West Side Story (2021),156 min,7.9/10,85,3,12:15pm 6:45 
Within 5 miles ,CineLux Almaden Cafe & Lounge,Encanto (2021),102 min,7.6/10,75,21,11:45am 2:20pm 
Within 5 miles ,CineLux Almaden Cafe & Lounge,Sing 2 (2021),112 min,7.4/10,None,40,12:45pm 1:30 3:45 4:15 6:45 10:30 
Within 5 miles ,CineLux Almaden Cafe & Lounge,Spider-Man: No Way Home (2021),148 min,9/10,71,1,12:00pm 1:00 3:30 4:30 7:00 8:00 9:30 
Within 5 miles ,CineLux Almaden Cafe & Lounge,The King's Man (2021),131 min,6.9/10,None,26,12:30pm 4:00 7:15 10:15 
Within 5 miles ,CineLux Almaden Cafe & Lounge,The Matrix Resurrections (2021),148 min,6.1/10,65,4,1:15pm 4:45 7:30 8:15 
Within 5 miles ,CineLux Almaden Cafe & Lounge,West Side Story (2021),156 min,7.9/10,85,3,5:00pm 8:30 
Within 5 miles ,CinéArts Santana Row,House of Gucci (2021),158 min,6.9/10,None,10,4:10pm 
Within 5 miles ,CinéArts Santana Row,Licorice Pizza (2021),133 min,8.4/10,91,14,12:10pm 3:20 6:30 9:40 
Within 5 miles ,CinéArts Santana Row,Spider-Man: No Way Home (2021),148 min,9/10,71,1,10:50am 11:50 3:25pm 6:00 7:00 9:35 10:35 
Within 5 miles ,CinéArts Santana Row,The King's Man (2021),131 min,6.9/10,None,26,12:50pm 4:00 7:15 10:25 
Within 5 miles ,CinéArts Santana Row,The Matrix Resurrections (2021),148 min,6.1/10,65,4,11:40am 3:15pm 6:45 10:10 
Within 5 miles ,CinéArts Santana Row,West Side Story (2021),156 min,7.9/10,85,3,12:35pm 7:45 
Within 5 miles ,Pruneyard Cinemas,Sing 2 (2021),112 min,7.4/10,None,40,11:15am 1:40pm 4:10 6:30 8:55 
Within 5 miles ,Pruneyard Cinemas,Spider-Man: No Way Home (2021),148 min,9/10,71,1,11:00am 2:30pm 6:00 9:30 
Within 5 miles ,Pruneyard Cinemas,The Matrix Resurrections (2021),148 min,6.1/10,65,4,12:15pm 4:00 7:30 
Within 5 miles ,San Jose ShowPlace ICON at Valley Fair,American Underdog (2021),112 min,-/10,None,90,10:45am 1:40pm 4:00 8:00 10:50 
Within 5 miles ,San Jose ShowPlace ICON at Valley Fair,Encanto (2021),102 min,7.6/10,75,21,10:40am 5:10pm 
Within 5 miles ,San Jose ShowPlace ICON at Valley Fair,House of Gucci (2021),158 min,6.9/10,None,10,12:20pm 
Within 5 miles ,San Jose ShowPlace ICON at Valley Fair,Nightmare Alley (2021),150 min,7.5/10,68,11,3:15pm 7:40 10:55 
Within 5 miles ,San Jose ShowPlace ICON at Valley Fair,Sing 2 (2021),112 min,7.4/10,None,40,10:55am 12:30pm 1:50 4:40 6:30 9:20 
Within 5 miles ,San Jose ShowPlace ICON at Valley Fair,Spider-Man: No Way Home (2021),148 min,9/10,71,1,11:00am 12:10pm 1:30 2:30 3:40 5:00 6:00 7:10 8:30 9:30 10:40 
Within 5 miles ,San Jose ShowPlace ICON at Valley Fair,The King's Man (2021),131 min,6.9/10,None,26,10:50am 2:00pm 4:30 7:30 10:35 
Within 5 miles ,San Jose ShowPlace ICON at Valley Fair,The Matrix Resurrections (2021),148 min,6.1/10,65,4,11:30am 1:20pm 2:55 4:50 6:20 8:20 9:45 
Within 5 miles ,San Jose ShowPlace ICON at Valley Fair,West Side Story (2021),156 min,7.9/10,85,3,6:50pm 10:20 
Within 5 miles ,West Wind Capitol 6 Drive-In,American Underdog (2021),112 min,-/10,None,90,5:30pm 
Within 5 miles ,West Wind Capitol 6 Drive-In,Sing 2 (2021),112 min,7.4/10,None,40,5:30pm 8:00 
Within 5 miles ,West Wind Capitol 6 Drive-In,Spider-Man: No Way Home (2021),148 min,9/10,71,1,5:30pm 6:30 7:30 8:40 9:40 10:30 11:50 
Within 5 miles ,West Wind Capitol 6 Drive-In,The King's Man (2021),131 min,6.9/10,None,26,8:20pm 11:10 
Within 5 miles ,West Wind Capitol 6 Drive-In,The Matrix Resurrections (2021),148 min,6.1/10,65,4,5:30pm 8:40 10:40 11:35 
Within 5 miles ,West Wind Capitol 6 Drive-In,West Side Story (2021),156 min,7.9/10,85,3,12:35am 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,'83 (2021),162 min,5.9/10,None,>1000,11:45am 2:15pm 6:15 10:15 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,A Journal for Jordan (2021),131 min,-/10,None,<500,11:00am 3:30pm 7:45 11:00 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,American Underdog (2021),112 min,-/10,None,90,1:00pm 4:00 7:00 10:00 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,Encanto (2021),102 min,7.6/10,75,21,11:45am 3:15pm 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,House of Gucci (2021),158 min,6.9/10,None,10,12:30pm 
Within 10 miles ,AMC DINE-IN Sunnyvale 12,Nightmare Alley (2021),150 min,7.5/10,68,11,4:15pm 8:00 10:45 
